location_name,watershed_name,rainfall(mm),Lat_DD,Lon_DD,date,year,UTM_Easting,UTM_Northing,UTM_Zone
Patean Curug,K.Blukar,30.0,-5.156388888888889,110.09166666666667,2023-01-16,2023,399327.383090334,9429976.947267232,49S
Patean Curug,K.Blukar,45.0,-5.156388888888889,110.09166666666667,2023-01-17,2023,399327.383090334,9429976.947267232,49S
Patean Curug,K.Blukar,0.0,-5.156388888888889,110.09166666666667,2023-01-18,2023,399327.383090334,9429976.947267232,49S
Patean Curug,K.Blukar,45.0,-5.156388888888889,110.09166666666667,2023-01-19,2023,399327.383090334,9429976.947267232,49S
Patean Curug,K.Blukar,0.0,-5.156388888888889,110.09166666666667,2023-01-20,2023,399327.383090334,9429976.947267232,49S
Patean Curug,K.Blukar,0.0,-5.156388888888889,110.09166666666667,2023-01-21,2023,399327.383090334,9429976.947267232,49S
Patean Curug,K.Blukar,15.0,-5.156388888888889,110.09166666666667,2023-01-22,2023,399327.383090334,9429976.947267232,49S
Patean Curug,K.Blukar,20.0,-5.156388888888889,110.09166666666667,2023-01-23,2023,399327.383090334,9429976.947267232,49S
Patean Curug,K.Blukar,25.0,-5.156388888888889,110.09166666666667,2023-01-24,2023,399327.383090334,9429976.947267232,49S
Patean Curug,K.Blukar,0.0,-5.156388888888889,110.09166666666667,2023-01-25,2023,399327.383090334,9429976.947267232,49S
Patean Curug,K.Blukar,0.0,-5.156388888888889,110.09166666666667,2023-01-26,2023,399327.383090334,9429976.947267232,49S
Patean Curug,K.Blukar,3.0,-5.156388888888889,110.09166666666667,2023-01-27,2023,399327.383090334,9429976.947267232,49S
Patean Curug,K.Blukar,4.0,-5.156388888888889,110.09166666666667,2023-01-28,2023,399327.383090334,9429976.947267232,49S
Patean Curug,K.Blukar,0.0,-5.156388888888889,110.09166666666667,2023-01-29,2023,399327.383090334,9429976.947267232,49S
Patean Curug,K.Blukar,0.0,-5.156388888888889,110.09166666666667,2023-01-30,2023,399327.383090334,9429976.947267232,49S
Patean Curug,K.Blukar,4.0,-5.156388888888889,110.09166666666667,2023-01-31,2023,399327.383090334,9429976.947267232,49S
Patean Curug,K.Blukar,0.0,-5.156388888888889,110.09166666666667,2023-02-01,2023,399327.383090334,9429976.947267232,49S
